episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.648436763999598,True,False
2,460.0,702,1087,0.2,0.02597915870666673,1.9028432609993615,True,False
3,430.0,506,1593,0.2,0.02794512542052649,4.15829687599944,True,False
4,1010.0,760,2353,0.2,0.026212362017433502,7.22534602199994,True,False
5,520.0,631,2984,0.2,0.024802328219461916,9.510967770999741,True,False
6,270.0,420,3404,0.2,0.02903406018989959,11.04476424799941,True,False
7,370.0,546,3950,0.2,0.02799319756355972,12.967937931999586,True,False
8,440.0,479,4429,0.2,0.029906693889885597,14.7016879039993,True,False
9,650.0,677,5106,0.2,0.03216972357880037,17.66509418699934,True,False
10,530.0,442,5548,0.2,0.03432643822675386,19.457183262999934,True,False
11,490.0,591,6139,0.2,0.03405790948182294,21.55632456999956,True,False
12,1250.0,653,6792,0.2,0.03872395346861151,23.886242463999224,True,False
13,1100.0,682,7474,0.2,0.03447145718177232,26.238756226999612,True,False
14,540.0,702,8176,0.2,0.03495603684992106,28.92267832699963,True,False
15,550.0,594,8770,0.2,0.03885378175087877,31.620079545999943,True,False
16,1020.0,639,9409,0.2,0.03759368535829708,33.94110394799918,True,False
17,690.0,736,10145,0.2,0.03840455909907494,36.5303274479993,True,False
18,870.0,644,10789,0.2,0.039283822296383955,38.82444519099954,True,False
19,430.0,491,11280,0.2,0.04126167265940609,40.61769718599953,True,False
20,440.0,517,11797,0.2,0.03714572059625919,42.928829526999834,True,False
21,990.0,645,12442,0.2,0.038472126472324876,45.51066261199958,True,False
22,850.0,655,13097,0.2,0.039357420336739043,47.85999727499984,True,False
23,550.0,501,13598,0.2,0.04046625536680221,49.70444022599986,True,False
24,690.0,568,14166,0.2,0.04147986555308051,51.770260730999325,True,False
25,700.0,598,14764,0.2,0.04331425242125988,54.05099345799954,True,False
26,310.0,453,15217,0.2,0.04129201941917428,58.72280666400002,True,False
27,1040.0,650,15867,0.2,0.0470610790035147,61.06377300599979,True,False
28,880.0,770,16637,0.2,0.046521740140383724,63.81528377599989,True,False
29,550.0,684,17321,0.2,0.04567925864013664,66.25960464599939,True,False
30,720.0,797,18118,0.2,0.045666196456076065,69.77836980999928,True,False
31,1390.0,728,18846,0.2,0.044584241624061875,72.32138266199945,True,False
32,700.0,611,19457,0.2,0.044246441024215585,74.52697028299917,True,False
33,750.0,484,19941,0.2,0.04509774119831807,76.2887470529995,True,False
34,120.0,283,20224,0.2,0.04563863390505734,77.39230556299935,True,False
35,1390.0,892,21116,0.2,0.04851080683966255,80.92163589399934,True,False
36,690.0,755,21871,0.2,0.0473270022107209,84.0363645819998,True,False
37,1300.0,792,22663,0.2,0.05392701549436709,86.82359653899948,True,False
38,410.0,452,23115,0.2,0.0488186347899975,88.50299515899951,True,False
39,510.0,488,23603,0.2,0.058906909673795346,90.28806123099912,True,False
40,310.0,515,24118,0.2,0.04928569500370659,92.18173171499984,True,False
41,560.0,562,24680,0.2,0.05209423250564975,95.03094028199939,True,False
42,170.0,350,25030,0.2,0.06129927402255179,96.37284677099979,True,False
43,1180.0,878,25908,0.2,0.05408454098188403,99.50685140699989,True,False
44,690.0,608,26516,0.2,0.05625689309090376,101.67990138099958,True,False
45,860.0,739,27255,0.2,0.057050275158278804,104.26346590100002,True,False
46,420.0,470,27725,0.2,0.05350033459806089,106.27286001199991,True,False
47,560.0,555,28280,0.2,0.05725508140359851,108.75557422599923,True,False
48,690.0,517,28797,0.2,0.06016236888389139,110.64732911800002,True,False
49,860.0,678,29475,0.2,0.06567502877338839,113.05136628799937,True,False
50,660.0,519,29994,0.2,0.05604775321598236,114.97734994199982,True,False
51,250.0,377,30371,0.2,0.06790297888615664,118.19775942199976,True,False
52,380.0,404,30775,0.2,0.06265586269742782,120.24893940699985,True,False
53,460.0,532,31307,0.2,0.06298249319223757,122.36972929999956,True,False
54,250.0,419,31726,0.2,0.06915963881959518,123.96575893799945,True,False
55,470.0,512,32238,0.2,0.060841129678010475,125.81136509699991,True,False
56,770.0,654,32892,0.2,0.06950631667859852,128.11549914199986,True,False
57,560.0,537,33429,0.2,0.07164160197656323,130.0571190089995,True,False
58,510.0,601,34030,0.2,0.06123172387170295,132.60945386799995,True,False
59,460.0,416,34446,0.2,0.06919956920095362,134.50300480199985,True,False
60,650.0,723,35169,0.2,0.06928395821573985,137.0336721979993,True,False
61,840.0,611,35780,0.2,0.06580902323784198,139.21182399699956,True,False
62,1030.0,1154,36934,0.2,0.062096659045588844,143.14847968599952,True,False
63,520.0,494,37428,0.2,0.06513904819204923,145.39606593699955,True,False
